a,0000100,0000100,0000100,0000000,0011100,0000000,0011100,
akesi,0010100,0010100,1111111,0010101,0010101,0000001,1111111,
ala,0000100,0000100,1111111,0000100,0000100,0000100,0000100,
alasa,1011111,1000001,1111101,1000101,1000101,1000100,1111111,
ali,1111111,0000000,1111111,0000001,1111111,0000100,1111100,
anpa,1111111,0010000,0011100,0010100,0010100,0010100,0010100,
ante,0000100,0000100,1111111,0000100,1111111,0000100,0011100,
anu,1000111,1000100,1111100,1000100,1000100,1000100,1000111,
awen,0010100,0010100,0010100,0010100,0010100,0010100,1110111,
e,0000000,0000000,1111111,0000001,0000001,0000000,0000000,
en,0000000,0000000,1111111,0000100,1111111,0000000,0000000,
esun,0010000,0010000,1111111,0010000,0010111,0010000,0010111,
ijo,0000100,0000100,1111111,1000100,1000100,1000100,1111100,
ike,0010000,0010000,1111111,0010001,0010111,0000100,0000100,
ilo,1000100,1000100,1111111,0000101,1111111,0000100,0000100,
insa,1110001,0010001,0010101,0010101,0010101,0010001,0011111,
jaki,0010100,0010100,1110111,1000101,1111101,0000100,1111100,
jan,0000111,0000101,1111111,0000100,0000100,0000100,0000100,
jelo,1000000,1000000,1111100,1000100,1111111,0000000,1111111,
jo,1000000,1000000,1111111,0000001,0011111,0010100,0011100,
kala,0010100,0010100,0011100,0000100,1011101,1010101,1011101,
kalama,1111100,0010100,0010101,0010100,0010101,0000100,0000100,
kama,0010100,0010100,1111111,0010100,0010100,0000100,0011100,
kasi,0000100,0000100,0011100,0010100,0011100,0000100,1111111,
ken,1000000,1000000,1111111,1000100,1000100,1000100,1000111,
kepeken,1000100,1000100,1111111,0000101,1111111,0000100,1010100,
kili,0011100,0010100,0011100,0000100,1111111,1000100,1111100,
kin,0000100,0000100,0000100,0000100,0000100,0000000,0011100,
kiwen,0010101,0010101,0011111,0000100,1111111,1000100,1111100,
ko,0010101,0010101,0011111,0000100,1000101,1000101,1011101,
kon,1000000,1000000,1111111,0000001,0011101,0000100,0000100,
kule,0011111,0000001,1000111,1000100,1110100,1010000,1111100,
kulupu,1111111,0000001,1111111,0000100,0011111,0010100,0011100,
kute,1111111,0010001,0010001,0010001,0010001,0000001,0000001,
la,0000000,0000000,1000000,1000000,1111111,0000000,0000000,
lape,0011100,0010100,1111100,0010000,0011101,0010101,0010111,
laso,0010000,0010000,0011100,0010100,1011111,1000001,1000001,
lawa,1110111,0000101,1111111,0000100,0000100,0000100,0000100,
len,1110100,0010100,0011100,0000100,1111111,0000100,0000100,
lete,1000000,1000000,1111100,0000100,1000101,1000101,1011101,
li,0010000,0010000,1111111,0010001,0010001,0010000,0010000,
lili,0010000,0010000,0011111,0010001,0010101,0010101,1110101,
linja,1111101,1000101,1000101,1000101,1000101,1000101,1000111,
lipu,1000000,1000000,1011111,1000001,1000001,1000001,1000001,
loje,1010001,1010001,1011101,0010100,0010100,0010100,0011111,
lon,0010000,0010000,0011100,0010000,1111111,1000001,1000001,
luka,1000000,1000000,1111111,0000001,0000001,0000001,1111111,
lukin,1000000,1000000,1111101,1000100,1000101,1000100,1111111,
lupa,1111111,0000000,1111111,0010000,0010000,0010000,0011111,
ma,0010000,0010000,0010000,0010000,1111111,1000001,1000001,
mama,0011100,0010100,1111100,0010000,0010111,0010001,0010111,
mani,1111111,0000100,1111111,0000100,1111111,1000101,1111101,
meli,0000111,0000101,1111111,0000100,1000101,1000101,1011101,
